fecha,clae3,empresas
2007-01-01,11,81
2007-01-01,12,111
2007-01-01,13,11
2007-01-01,14,40
2007-01-01,16,4
2007-01-01,17,-99
2007-01-01,21,-99
2007-01-01,22,13
2007-01-01,24,3
2007-01-01,31,47
2007-01-01,32,-99
2007-01-01,51,-99
2007-01-01,61,15
2007-01-01,62,3
2007-01-01,71,-99
2007-01-01,72,5
2007-01-01,81,16
2007-01-01,89,23
2007-01-01,91,25
2007-01-01,99,-99
2007-01-01,101,98
2007-01-01,102,61
2007-01-01,103,98
2007-01-01,104,31
2007-01-01,105,35
2007-01-01,106,52
2007-01-01,107,185
2007-01-01,108,16
2007-01-01,109,5
2007-01-01,110,129
2007-01-01,120,13
2007-01-01,131,66
2007-01-01,139,87
2007-01-01,141,84
2007-01-01,142,6
2007-01-01,143,11
2007-01-01,151,69
2007-01-01,152,44
2007-01-01,161,30
2007-01-01,162,35
2007-01-01,170,97
2007-01-01,181,46
2007-01-01,182,-99
2007-01-01,191,3
2007-01-01,192,17
2007-01-01,201,77
2007-01-01,202,267
2007-01-01,203,-99
2007-01-01,210,136
2007-01-01,221,52
2007-01-01,222,272
2007-01-01,231,25
2007-01-01,239,77
2007-01-01,241,43
2007-01-01,242,9
2007-01-01,243,26
2007-01-01,251,27
2007-01-01,252,3
2007-01-01,259,256
2007-01-01,261,4
2007-01-01,262,9
2007-01-01,263,11
2007-01-01,264,8
2007-01-01,265,41
2007-01-01,266,38
2007-01-01,267,3
2007-01-01,271,31
2007-01-01,272,6
2007-01-01,273,17
2007-01-01,274,13
2007-01-01,275,53
2007-01-01,279,50
2007-01-01,281,104
2007-01-01,282,216
2007-01-01,291,11
2007-01-01,292,12
2007-01-01,293,211
2007-01-01,301,7
2007-01-01,302,5
2007-01-01,303,-99
2007-01-01,309,5
2007-01-01,310,65
2007-01-01,321,4
2007-01-01,322,4
2007-01-01,323,9
2007-01-01,324,6
2007-01-01,329,60
2007-01-01,331,15
2007-01-01,332,-99
2007-01-01,351,3
2007-01-01,381,-99
2007-01-01,382,6
2007-01-01,410,9
2007-01-01,421,-99
2007-01-01,422,7
2007-01-01,429,5
2007-01-01,432,8
2007-01-01,433,-99
2007-01-01,439,3
2007-01-01,451,-99
2007-01-01,452,5
2007-01-01,453,36
2007-01-01,454,-99
2007-01-01,461,55
2007-01-01,462,79
2007-01-01,463,177
2007-01-01,464,193
2007-01-01,465,120
2007-01-01,466,89
2007-01-01,469,111
2007-01-01,471,9
2007-01-01,472,4
2007-01-01,473,-99
2007-01-01,474,-99
2007-01-01,475,19
2007-01-01,476,18
2007-01-01,477,87
2007-01-01,478,-99
2007-01-01,479,-99
2007-01-01,492,18
2007-01-01,493,-99
2007-01-01,501,4
2007-01-01,502,-99
2007-01-01,511,4
2007-01-01,521,-99
2007-01-01,522,20
2007-01-01,523,46
2007-01-01,524,10
2007-01-01,561,6
2007-01-01,562,-99
2007-01-01,581,79
2007-01-01,591,21
2007-01-01,592,-99
2007-01-01,602,8
2007-01-01,612,3
2007-01-01,613,-99
2007-01-01,614,-99
2007-01-01,619,5
2007-01-01,620,28
2007-01-01,631,-99
2007-01-01,649,-99
2007-01-01,681,48
2007-01-01,682,-99
2007-01-01,691,-99
2007-01-01,692,-99
2007-01-01,702,39
2007-01-01,711,16
2007-01-01,712,-99
2007-01-01,721,4
2007-01-01,731,5
2007-01-01,732,-99
2007-01-01,741,3
2007-01-01,742,-99
2007-01-01,749,4
2007-01-01,750,-99
2007-01-01,771,-99
2007-01-01,773,10
2007-01-01,774,-99
2007-01-01,791,-99
2007-01-01,813,-99
2007-01-01,821,-99
2007-01-01,822,-99
2007-01-01,823,-99
2007-01-01,829,36
2007-01-01,854,-99
2007-01-01,862,-99
2007-01-01,863,-99
2007-01-01,869,-99
2007-01-01,900,-99
2007-01-01,910,-99
2007-01-01,920,-99
2007-01-01,939,3
2007-01-01,941,-99
2007-01-01,949,8
2007-01-01,951,3
2007-01-01,952,3
2007-01-01,960,18
2007-01-01,999,27
2007-02-01,11,84
2007-02-01,12,122
2007-02-01,13,16
2007-02-01,14,41
2007-02-01,16,4
2007-02-01,17,-99
2007-02-01,21,-99
2007-02-01,22,12
2007-02-01,24,-99
2007-02-01,31,50
2007-02-01,32,-99
2007-02-01,51,-99
2007-02-01,61,14
2007-02-01,62,3
2007-02-01,72,6
2007-02-01,81,16
2007-02-01,89,19
2007-02-01,91,21
2007-02-01,99,-99
2007-02-01,101,100
2007-02-01,102,66
2007-02-01,103,101
2007-02-01,104,31
2007-02-01,105,32
2007-02-01,106,49
2007-02-01,107,168
2007-02-01,108,18
2007-02-01,109,4
2007-02-01,110,119
2007-02-01,120,11
2007-02-01,131,59
2007-02-01,139,74
2007-02-01,141,73
2007-02-01,142,7
2007-02-01,143,18
2007-02-01,151,69
2007-02-01,152,55
2007-02-01,161,36
2007-02-01,162,37
2007-02-01,170,86
2007-02-01,181,46
2007-02-01,182,-99
2007-02-01,191,-99
2007-02-01,192,16
2007-02-01,201,68
2007-02-01,202,249
2007-02-01,203,-99
2007-02-01,210,127
2007-02-01,221,42
2007-02-01,222,269
2007-02-01,231,21
2007-02-01,239,82
2007-02-01,241,39
2007-02-01,242,12
2007-02-01,243,22
2007-02-01,251,23
2007-02-01,252,3
2007-02-01,259,242
2007-02-01,261,6
2007-02-01,262,8
2007-02-01,263,10
2007-02-01,264,8
2007-02-01,265,38
2007-02-01,266,37
2007-02-01,267,4
2007-02-01,271,37
2007-02-01,272,7
2007-02-01,273,20
2007-02-01,274,10
2007-02-01,275,44
2007-02-01,279,46
2007-02-01,281,99
2007-02-01,282,247
2007-02-01,291,11
2007-02-01,292,7
2007-02-01,293,209
2007-02-01,301,8
2007-02-01,302,4
2007-02-01,303,-99
2007-02-01,309,4
2007-02-01,310,55
2007-02-01,321,3
2007-02-01,322,4
2007-02-01,323,8
2007-02-01,324,6
2007-02-01,329,45
2007-02-01,331,14
2007-02-01,332,-99
2007-02-01,351,5
2007-02-01,381,-99
2007-02-01,382,6
2007-02-01,410,8
2007-02-01,421,3
2007-02-01,422,7
2007-02-01,429,3
2007-02-01,431,-99
2007-02-01,432,7
2007-02-01,439,3
2007-02-01,451,4
2007-02-01,452,5
2007-02-01,453,41
2007-02-01,454,-99
2007-02-01,461,58
2007-02-01,462,71
2007-02-01,463,168
2007-02-01,464,178
2007-02-01,465,112
2007-02-01,466,94
2007-02-01,469,105
2007-02-01,471,10
2007-02-01,472,5
2007-02-01,473,-99
2007-02-01,475,25
2007-02-01,476,15
2007-02-01,477,75
2007-02-01,479,3
2007-02-01,492,16
2007-02-01,493,3
2007-02-01,501,6
2007-02-01,502,-99
2007-02-01,511,4
2007-02-01,512,-99
2007-02-01,522,15
2007-02-01,523,48
2007-02-01,524,8
2007-02-01,551,-99
2007-02-01,561,7
2007-02-01,562,-99
2007-02-01,581,64
2007-02-01,591,13
2007-02-01,592,-99
2007-02-01,602,9
2007-02-01,611,-99
2007-02-01,612,-99
2007-02-01,613,-99
2007-02-01,614,-99
2007-02-01,619,4
2007-02-01,620,24
2007-02-01,649,-99
2007-02-01,681,40
2007-02-01,682,-99
2007-02-01,691,-99
2007-02-01,692,5
2007-02-01,702,35
2007-02-01,711,29
2007-02-01,712,-99
2007-02-01,721,8
2007-02-01,731,4
2007-02-01,741,-99
2007-02-01,742,-99
2007-02-01,749,-99
2007-02-01,750,-99
2007-02-01,771,-99
2007-02-01,773,10
2007-02-01,774,-99
2007-02-01,813,-99
2007-02-01,821,5
2007-02-01,822,-99
2007-02-01,823,-99
2007-02-01,829,35
2007-02-01,851,-99
2007-02-01,853,-99
2007-02-01,854,-99
2007-02-01,863,-99
2007-02-01,869,-99
2007-02-01,900,3
2007-02-01,910,-99
2007-02-01,920,-99
2007-02-01,931,-99
2007-02-01,939,-99
2007-02-01,941,-99
2007-02-01,949,8
2007-02-01,951,-99
2007-02-01,952,-99
2007-02-01,960,17
2007-02-01,999,23
2007-03-01,11,83
2007-03-01,12,120
2007-03-01,13,22
2007-03-01,14,49
2007-03-01,16,8
2007-03-01,21,3
2007-03-01,22,12
2007-03-01,31,61
2007-03-01,32,-99
2007-03-01,51,-99
2007-03-01,61,14
2007-03-01,62,3
2007-03-01,72,5
2007-03-01,81,18
2007-03-01,89,23
2007-03-01,91,19
2007-03-01,99,6
2007-03-01,101,98
2007-03-01,102,64
2007-03-01,103,101
2007-03-01,104,31
2007-03-01,105,35
2007-03-01,106,53
2007-03-01,107,167
2007-03-01,108,14
2007-03-01,109,4
2007-03-01,110,151
2007-03-01,120,11
2007-03-01,131,72
2007-03-01,139,95
2007-03-01,141,109
2007-03-01,142,4
2007-03-01,143,18
2007-03-01,151,85
2007-03-01,152,71
2007-03-01,161,38
2007-03-01,162,37
2007-03-01,170,100
2007-03-01,181,50
2007-03-01,182,-99
2007-03-01,191,4
2007-03-01,192,16
2007-03-01,201,74
2007-03-01,202,265
2007-03-01,203,-99
2007-03-01,210,133
2007-03-01,221,59
2007-03-01,222,285
2007-03-01,231,27
2007-03-01,239,92
2007-03-01,241,46
2007-03-01,242,13
2007-03-01,243,28
2007-03-01,251,24
2007-03-01,252,4
2007-03-01,259,251
2007-03-01,261,7
2007-03-01,262,9
2007-03-01,263,14
2007-03-01,264,11
2007-03-01,265,43
2007-03-01,266,40
2007-03-01,267,5
2007-03-01,271,35
2007-03-01,272,6
2007-03-01,273,19
2007-03-01,274,15
2007-03-01,275,48
2007-03-01,279,39
2007-03-01,281,120
2007-03-01,282,250
2007-03-01,291,10
2007-03-01,292,15
2007-03-01,293,205
2007-03-01,301,11
2007-03-01,302,-99
2007-03-01,303,-99
2007-03-01,309,5
2007-03-01,310,42
2007-03-01,321,-99
2007-03-01,322,7
2007-03-01,323,12
2007-03-01,324,6
2007-03-01,329,58
2007-03-01,331,18
2007-03-01,332,-99
2007-03-01,351,3
2007-03-01,370,-99
2007-03-01,381,-99
2007-03-01,382,7
2007-03-01,410,9
2007-03-01,421,3
2007-03-01,422,7
2007-03-01,429,4
2007-03-01,431,-99
2007-03-01,432,7
2007-03-01,433,-99
2007-03-01,439,5
2007-03-01,451,3
2007-03-01,452,3
2007-03-01,453,44
2007-03-01,454,4
2007-03-01,461,59
2007-03-01,462,75
2007-03-01,463,187
2007-03-01,464,200
2007-03-01,465,117
2007-03-01,466,91
2007-03-01,469,109
2007-03-01,471,11
2007-03-01,472,8
2007-03-01,473,-99
2007-03-01,474,4
2007-03-01,475,15
2007-03-01,476,21
2007-03-01,477,88
2007-03-01,478,-99
2007-03-01,479,-99
2007-03-01,492,17
2007-03-01,493,-99
2007-03-01,501,4
2007-03-01,502,-99
2007-03-01,511,-99
2007-03-01,512,-99
2007-03-01,522,16
2007-03-01,523,57
2007-03-01,524,5
2007-03-01,530,-99
2007-03-01,551,3
2007-03-01,561,5
2007-03-01,562,-99
2007-03-01,581,86
2007-03-01,591,18
2007-03-01,592,-99
2007-03-01,602,8
2007-03-01,612,-99
2007-03-01,613,-99
2007-03-01,614,-99
2007-03-01,619,5
2007-03-01,620,24
2007-03-01,631,-99
2007-03-01,649,-99
2007-03-01,681,47
2007-03-01,682,-99
2007-03-01,691,-99
2007-03-01,692,-99
2007-03-01,702,39
2007-03-01,711,28
2007-03-01,712,-99
2007-03-01,721,9
2007-03-01,731,7
2007-03-01,741,-99
2007-03-01,742,-99
2007-03-01,749,-99
2007-03-01,750,-99
2007-03-01,771,-99
2007-03-01,773,11
2007-03-01,774,-99
2007-03-01,791,-99
2007-03-01,812,-99
2007-03-01,813,-99
2007-03-01,821,4
2007-03-01,822,-99
2007-03-01,829,41
2007-03-01,854,-99
2007-03-01,863,-99
2007-03-01,869,-99
2007-03-01,900,-99
2007-03-01,910,-99
2007-03-01,920,-99
2007-03-01,931,-99
2007-03-01,939,3
2007-03-01,941,-99
2007-03-01,949,14
2007-03-01,951,4
2007-03-01,952,-99
2007-03-01,960,18
2007-03-01,999,27
2007-04-01,11,88
2007-04-01,12,106
2007-04-01,13,18
2007-04-01,14,46
2007-04-01,16,8
2007-04-01,17,-99
2007-04-01,21,-99
2007-04-01,22,12
2007-04-01,24,-99
2007-04-01,31,75
2007-04-01,32,-99
2007-04-01,51,-99
2007-04-01,61,13
2007-04-01,62,3
2007-04-01,72,7
2007-04-01,81,14
2007-04-01,89,18
2007-04-01,91,17
2007-04-01,99,-99
2007-04-01,101,100
2007-04-01,102,63
2007-04-01,103,98
2007-04-01,104,37
2007-04-01,105,30
2007-04-01,106,52
2007-04-01,107,170
2007-04-01,108,17
2007-04-01,109,4
2007-04-01,110,136
2007-04-01,120,10
2007-04-01,131,69
2007-04-01,139,86
2007-04-01,141,96
2007-04-01,142,7
2007-04-01,143,17
2007-04-01,151,80
2007-04-01,152,64
2007-04-01,161,36
2007-04-01,162,34
2007-04-01,170,88
2007-04-01,181,54
2007-04-01,182,-99
2007-04-01,191,4
2007-04-01,192,14
2007-04-01,201,72
2007-04-01,202,250
2007-04-01,203,-99
2007-04-01,210,131
2007-04-01,221,49
2007-04-01,222,279
2007-04-01,231,23
2007-04-01,239,78
2007-04-01,241,43
2007-04-01,242,15
2007-04-01,243,26
2007-04-01,251,25
2007-04-01,252,3
