fecha,clae3,total_fob
2007-01-01,11,17852460
2007-01-01,12,37732108
2007-01-01,13,6018053
2007-01-01,14,8774171
2007-01-01,16,951134
2007-01-01,17,-99
2007-01-01,21,-99
2007-01-01,22,660715
2007-01-01,24,49113
2007-01-01,31,35820932
2007-01-01,32,-99
2007-01-01,51,-99
2007-01-01,61,352339296
2007-01-01,62,19382190
2007-01-01,71,-99
2007-01-01,72,169136352
2007-01-01,81,1195687
2007-01-01,89,7510770
2007-01-01,91,3412203
2007-01-01,99,-99
2007-01-01,101,89437592
2007-01-01,102,31451710
2007-01-01,103,40824756
2007-01-01,104,723234240
2007-01-01,105,75867536
2007-01-01,106,23078376
2007-01-01,107,72960592
2007-01-01,108,5070208
2007-01-01,109,708689
2007-01-01,110,45002432
2007-01-01,120,6302258
2007-01-01,131,20664910
2007-01-01,139,7567852
2007-01-01,141,3323301
2007-01-01,142,100575
2007-01-01,143,362761
2007-01-01,151,71005440
2007-01-01,152,2526251
2007-01-01,161,2110466
2007-01-01,162,8851771
2007-01-01,170,54318712
2007-01-01,181,4400328
2007-01-01,182,-99
2007-01-01,191,128235
2007-01-01,192,89194168
2007-01-01,201,125630976
2007-01-01,202,92732936
2007-01-01,203,-99
2007-01-01,210,43357456
2007-01-01,221,22375636
2007-01-01,222,33280388
2007-01-01,231,2983372
2007-01-01,239,13035307
2007-01-01,241,148621056
2007-01-01,242,41781200
2007-01-01,243,6262370
2007-01-01,251,2919265
2007-01-01,252,530889
2007-01-01,259,17869208
2007-01-01,261,58006
2007-01-01,262,4648865
2007-01-01,263,345023
2007-01-01,264,247580
2007-01-01,265,2704172
2007-01-01,266,2516857
2007-01-01,267,319083
2007-01-01,271,4194631
2007-01-01,272,1199483
2007-01-01,273,4676385
2007-01-01,274,1055915
2007-01-01,275,3136395
2007-01-01,279,2043315
2007-01-01,281,18607320
2007-01-01,282,23728904
2007-01-01,291,195573088
2007-01-01,292,1011613
2007-01-01,293,43824612
2007-01-01,301,519620
2007-01-01,302,1274138
2007-01-01,303,2237351
2007-01-01,309,254103
2007-01-01,310,3905130
2007-01-01,321,138603
2007-01-01,322,141418
2007-01-01,323,200117
2007-01-01,324,46718
2007-01-01,329,2915883
2007-01-01,331,2787756
2007-01-01,332,-99
2007-01-01,351,6079237
2007-01-01,381,-99
2007-01-01,382,1729383
2007-01-01,410,430864
2007-01-01,421,-99
2007-01-01,422,303895
2007-01-01,429,17015560
2007-01-01,432,247894
2007-01-01,433,-99
2007-01-01,439,481820
2007-01-01,451,-99
2007-01-01,452,90993
2007-01-01,453,2672327
2007-01-01,454,-99
2007-01-01,461,35373816
2007-01-01,462,166306032
2007-01-01,463,61937224
2007-01-01,464,15453313
2007-01-01,465,4348812
2007-01-01,466,13042895
2007-01-01,469,18152526
2007-01-01,471,5761691
2007-01-01,472,94785
2007-01-01,473,-99
2007-01-01,474,-99
2007-01-01,475,537017
2007-01-01,476,327217
2007-01-01,477,2348374
2007-01-01,478,-99
2007-01-01,479,-99
2007-01-01,492,1621894
2007-01-01,493,-99
2007-01-01,501,320021
2007-01-01,502,-99
2007-01-01,511,26992328
2007-01-01,521,-99
2007-01-01,522,6144068
2007-01-01,523,1463721
2007-01-01,524,1440060
2007-01-01,561,43861
2007-01-01,562,-99
2007-01-01,581,2290149
2007-01-01,591,2218202
2007-01-01,592,-99
2007-01-01,602,1019807
2007-01-01,612,2829651
2007-01-01,613,-99
2007-01-01,614,-99
2007-01-01,619,58267
2007-01-01,620,1361919
2007-01-01,631,-99
2007-01-01,649,-99
2007-01-01,681,7340825
2007-01-01,682,-99
2007-01-01,691,-99
2007-01-01,692,-99
2007-01-01,702,2782294
2007-01-01,711,1131914
2007-01-01,712,-99
2007-01-01,721,132158
2007-01-01,731,152972
2007-01-01,732,-99
2007-01-01,741,88773
2007-01-01,742,-99
2007-01-01,749,313148
2007-01-01,750,-99
2007-01-01,771,-99
2007-01-01,773,745191
2007-01-01,774,-99
2007-01-01,791,-99
2007-01-01,813,-99
2007-01-01,821,-99
2007-01-01,822,-99
2007-01-01,823,-99
2007-01-01,829,9375440
2007-01-01,854,-99
2007-01-01,862,-99
2007-01-01,863,-99
2007-01-01,869,-99
2007-01-01,900,-99
2007-01-01,910,-99
2007-01-01,920,-99
2007-01-01,939,40877
2007-01-01,941,-99
2007-01-01,949,670896
2007-01-01,951,46769
2007-01-01,952,21741
2007-01-01,960,648805
2007-01-01,999,596685
2007-02-01,11,22068608
2007-02-01,12,53234972
2007-02-01,13,12771270
2007-02-01,14,10042089
2007-02-01,16,63252
2007-02-01,17,-99
2007-02-01,21,-99
2007-02-01,22,934652
2007-02-01,24,-99
2007-02-01,31,35712584
2007-02-01,32,-99
2007-02-01,51,-99
2007-02-01,61,311498848
2007-02-01,62,23772764
2007-02-01,72,214454960
2007-02-01,81,1576714
2007-02-01,89,8181781
2007-02-01,91,2566743
2007-02-01,99,-99
2007-02-01,101,90982624
2007-02-01,102,40328896
2007-02-01,103,42023880
2007-02-01,104,832264960
2007-02-01,105,63733736
2007-02-01,106,27023268
2007-02-01,107,74116632
2007-02-01,108,3602516
2007-02-01,109,712779
2007-02-01,110,45000884
2007-02-01,120,9194268
2007-02-01,131,28408122
2007-02-01,139,8829571
2007-02-01,141,3353974
2007-02-01,142,223865
2007-02-01,143,482689
2007-02-01,151,76246864
2007-02-01,152,3474990
2007-02-01,161,1576716
2007-02-01,162,6028513
2007-02-01,170,42913496
2007-02-01,181,3883982
2007-02-01,182,-99
2007-02-01,191,-99
2007-02-01,192,98137120
2007-02-01,201,97393672
2007-02-01,202,91643440
2007-02-01,203,-99
2007-02-01,210,40279516
2007-02-01,221,15491985
2007-02-01,222,31540902
2007-02-01,231,2385086
2007-02-01,239,10018329
2007-02-01,241,120166120
2007-02-01,242,47025700
2007-02-01,243,5523588
2007-02-01,251,2081859
2007-02-01,252,709690
2007-02-01,259,16926304
2007-02-01,261,100476
2007-02-01,262,2349571
2007-02-01,263,626327
2007-02-01,264,768632
2007-02-01,265,2615933
2007-02-01,266,2028455
2007-02-01,267,201132
2007-02-01,271,4301230
2007-02-01,272,916156
2007-02-01,273,4980245
2007-02-01,274,584085
2007-02-01,275,3371174
2007-02-01,279,2582581
2007-02-01,281,19340408
2007-02-01,282,25366054
2007-02-01,291,339952544
2007-02-01,292,751146
2007-02-01,293,52024564
2007-02-01,301,1054905
2007-02-01,302,727554
2007-02-01,303,197577
2007-02-01,309,26108
2007-02-01,310,3167205
2007-02-01,321,96747
2007-02-01,322,122708
2007-02-01,323,191619
2007-02-01,324,64936
2007-02-01,329,2208181
2007-02-01,331,1508411
2007-02-01,332,-99
2007-02-01,351,10005759
2007-02-01,381,-99
2007-02-01,382,1353630
2007-02-01,410,446423
2007-02-01,421,167912
2007-02-01,422,165207
2007-02-01,429,49937
2007-02-01,431,-99
2007-02-01,432,251693
2007-02-01,439,907293
2007-02-01,451,290275
2007-02-01,452,133480
2007-02-01,453,2914182
2007-02-01,454,-99
2007-02-01,461,50763408
2007-02-01,462,119376328
2007-02-01,463,71816000
2007-02-01,464,17899620
2007-02-01,465,5106331
2007-02-01,466,12363607
