Dpt_name,gdp_percentage_state,id
Amazonas,0.1,91
Antioquia,15,05
Arauca,0.5,81
Atlantico,4.4,08
Bogota,25.3,11
Bolivar,3.5,13
Boyaca,2.6,15
Caldas,1.7,17
Caqueta,0.4,18
Casanare,1.5,85
Cauca,1.8,19
Cesar,2,20
Choco,0.4,27
Cordoba,1.7,23
Cundinamarca,6.2,25
Guainia,0,94
Guaviare,0.1,95
Huila,1.7,41
La Guajira,1.2,44
Magdalena,1.4,47
Meta,3.4,50
Narino,1.5,52
Norte de Santander,1.6,54
Putumayo,0.3,86
Quindio,0.8,63
Risaralda,1.6,66
Santander,6.3,68
Sucre,0.8,70
Tolima,2.1,73
Valle del Cauca,9.8,76
Vaupes,0,97
Vichada,0.1,99
